Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights:  50%|█████     | 52/103 [00:00<00:00, 493.18it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 581.17it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.[0m
/root/ACPs-app/venv/lib/python3.10/site-packages/networkx/readwrite/json_graph/node_link.py:287: FutureWarning: 
The default value will be changed to `edges="edges" in NetworkX 3.6.

To make this warning go away, explicitly set the edges kwarg, e.g.:

  nx.node_link_graph(data, edges="links") to preserve current behavior, or
  nx.node_link_graph(data, edges="edges") for forward compatibility.
  warnings.warn(
event=kg_graph_load_failed error='links' path=/root/DataSet/processed/knowledge_graph.json
2026-03-15 17:21:20+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-acf378f9-33e0-4817-bf6b-c3a52bc2e654 state=completed recommendation_count=5
2026-03-15 17:22:23+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-3a503364-d1b9-4ecb-8ce7-5709ca2d1d69 state=completed recommendation_count=5
2026-03-15 17:23:29+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-0188de00-c4d9-46dc-9238-1468789741e6 state=completed recommendation_count=5
2026-03-15 17:24:35+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-ccf435a5-b64a-45d8-8280-3415568b64b3 state=completed recommendation_count=5
2026-03-15 17:25:47+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-7573594b-9891-45e3-8d21-7a63a2a5f296 state=completed recommendation_count=5
2026-03-15 17:26:55+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-3e7ed193-9da0-48de-a204-78fd17f83913 state=completed recommendation_count=5
2026-03-15 17:28:01+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-b07410be-1300-4c3a-85e8-8fe3a358c10e state=completed recommendation_count=5
2026-03-15 17:29:13+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-60b98e60-2ea7-4633-bfcc-6742861705bc state=completed recommendation_count=5
2026-03-15 17:30:23+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-103fa59d-917f-4969-a05f-7c0fac6eceeb state=completed recommendation_count=5
2026-03-15 17:31:38+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-57321d3c-bf14-4fdd-9894-d8b25c49d054 state=completed recommendation_count=5
2026-03-15 17:32:48+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-de1ffd4b-6705-4dda-a90d-4787dd33198a state=completed recommendation_count=5
2026-03-15 17:33:58+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-8afcd314-99c5-43e5-b49c-947aa883fdac state=completed recommendation_count=5
2026-03-15 17:35:05+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-851c0e26-0346-43f9-8234-27a78e9b6d67 state=completed recommendation_count=5
2026-03-15 17:36:15+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-ddc1c23c-121a-4ae9-ba15-790e1a8686ba state=completed recommendation_count=5
2026-03-15 17:37:23+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-25cd35d5-09ea-441a-822b-9f64f0a587d5 state=completed recommendation_count=5
2026-03-15 17:38:33+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-2c6a126f-e72c-474c-9056-02d303453fa9 state=completed recommendation_count=5
2026-03-15 17:39:41+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-5360eec1-f612-4c7d-9043-e0adc0be8653 state=completed recommendation_count=5
2026-03-15 17:40:48+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-9a5ca8ec-cad4-47b2-94a8-6a0e7627b00e state=completed recommendation_count=5
2026-03-15 17:42:00+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-493ca5e1-4800-479b-afea-0ee54b76e2ae state=completed recommendation_count=5
2026-03-15 17:43:08+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-6c8332e4-f80c-4779-b305-6a491c41842b state=completed recommendation_count=5
2026-03-15 17:44:16+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-fe853098-508f-472a-a6a5-25893c9a23a0 state=completed recommendation_count=5
2026-03-15 17:45:23+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-e53656b6-6393-431a-b688-547ca48372b2 state=completed recommendation_count=5
2026-03-15 17:46:26+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-0ae4cf69-87a2-4fad-8290-ae0c614c20be state=completed recommendation_count=4
2026-03-15 17:47:42+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-29190b6c-ff64-46d5-9b44-521db308ddab state=completed recommendation_count=5
2026-03-15 17:48:42+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c33009f8-6dd3-4454-8397-9ad2ca2a1851 state=completed recommendation_count=5
2026-03-15 17:49:48+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-fdcba596-f823-4497-8eb1-af8facacb302 state=completed recommendation_count=5
2026-03-15 17:50:49+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-d4ae255e-3858-46af-b4f3-9ea565dfabd0 state=completed recommendation_count=5
2026-03-15 17:51:59+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-12f59c7a-73bb-4118-ae35-41bd55b44844 state=completed recommendation_count=5
2026-03-15 17:53:05+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-cf682db6-d7ec-49d6-89ae-d86001992801 state=completed recommendation_count=5
2026-03-15 17:54:10+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-0c840877-1bf5-4610-9b35-501cdc26506b state=completed recommendation_count=5
2026-03-15 17:55:21+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-9df19bf1-7f1f-4dee-b989-924714dbfb39 state=completed recommendation_count=5
2026-03-15 17:56:39+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-5a264167-76f1-40e0-bb77-1966f2c397a2 state=completed recommendation_count=5
2026-03-15 17:57:44+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-ccb16f63-fd25-4316-b6dd-1ce39e0589ab state=completed recommendation_count=5
2026-03-15 17:58:55+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c8d914af-fe28-4369-836e-ba807935511d state=completed recommendation_count=5
2026-03-15 18:00:04+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-b2fd7608-fba6-4d32-b343-80b3cc170c22 state=completed recommendation_count=5
2026-03-15 18:01:16+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-cbe47822-e6bc-4dee-86d8-a1099c61edd3 state=completed recommendation_count=5
2026-03-15 18:02:22+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-19ad51b0-853f-4303-9e6b-ac64987ebcef state=completed recommendation_count=5
2026-03-15 18:03:34+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-1ccd9377-075f-426e-8cf6-be7869d8c522 state=completed recommendation_count=5
2026-03-15 18:04:39+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-d6ab69db-f65b-4bad-8da4-dfd1ca47b11b state=completed recommendation_count=5
2026-03-15 18:05:49+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-e765efa5-29f1-4cc6-8d7b-cdd7c599ab7f state=completed recommendation_count=5
2026-03-15 18:07:00+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-db1ac988-8aca-4b37-9a2a-2fce7fe6ea16 state=completed recommendation_count=5
2026-03-15 18:08:07+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-6f37da64-de19-466f-82ca-b08411ae5bf1 state=completed recommendation_count=5
2026-03-15 18:09:20+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-b3fd8b61-4507-4d71-9b5b-efeb436587f2 state=completed recommendation_count=5
2026-03-15 18:10:27+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-064525e9-a8e1-4e98-ac5b-1cde0f56cf05 state=completed recommendation_count=5
2026-03-15 18:11:35+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-20019eab-2d9e-42e4-ba5f-8b1a769e1b7a state=completed recommendation_count=5
2026-03-15 18:12:45+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-20abffa3-951b-467f-89b5-223382fd09f6 state=completed recommendation_count=5
2026-03-15 18:13:53+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c8230d84-8bf2-418a-a611-7eb211094aac state=completed recommendation_count=5
2026-03-15 18:15:10+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-678b95d4-5880-40b2-bfe1-e82f23b06f38 state=completed recommendation_count=5
2026-03-15 18:16:26+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-da3dd38a-d789-4f36-81cc-d6ac3dc46a0b state=completed recommendation_count=5
2026-03-15 18:17:36+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-57679335-8259-40c9-9d7e-f225876e2b84 state=completed recommendation_count=5
